GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
10609.1,88.9929,0.00857274,-6.0925588906906345,2025-0521-160859,"[1, 1, 1]","[2.47564038e-04 1.84689064e-06 7.38788065e-04 1.51700349e-06
 5.16102565e-04 1.17022304e-06 4.34745739e-04 1.86172806e-06
 1.07054666e-06 1.04875391e-06 9.54451147e-04 1.34149030e-06
 8.06831411e-04 1.52249282e-06 3.35236772e-04 8.66399027e-07
 5.07672924e-04 1.97634245e-06 1.84430345e-05 1.81279111e-06
 1.64837627e-06 1.02172346e-06 2.56813856e-12 1.35976571e-12]",STALE
5162.5,88.7961,0.00665878,-5.88946539822729,2025-0521-160917,"[1, 1, 1]","[2.47564038e-04 9.29791808e-07 7.38788065e-04 1.08189957e-06
 4.32360534e-04 1.15579842e-06 7.29283010e-05 1.86172806e-06
 1.07054666e-06 8.36649112e-07 8.15751318e-04 1.43245396e-06
 8.95699623e-04 1.72812003e-06 3.35236772e-04 1.48021883e-06
 5.07672924e-04 1.97634245e-06 1.84430345e-05 1.49028976e-06
 1.64837627e-06 7.26831217e-07 2.63471931e-12 1.35976571e-12]",STALE
100602.0,102.187,0.00817359,-7.090193765684646,2025-0521-160917,"[1, 1, 1]","[2.39678378e-04 1.11833425e-06 6.72272497e-04 1.48695958e-06
 5.16102565e-04 1.39876032e-06 1.60103696e-04 1.88881491e-06
 1.07054666e-06 1.03879466e-06 9.54451147e-04 1.36517447e-06
 5.32761044e-04 7.39639729e-07 3.35236772e-04 8.66399027e-07
 4.37209862e-04 1.97013570e-06 2.90657019e-05 1.40952671e-06
 9.59787914e-06 1.25086809e-06 2.90171406e-12 9.18385006e-13]",STALE
147956.0,100.094,0.00799703,-7.267203856393275,2025-0521-160933,"[1, 1, 1]","[1.19891194e-04 8.83956432e-07 6.21529883e-04 1.61525321e-06
 5.36059655e-04 5.90786338e-07 1.60103696e-04 1.82815301e-06
 1.07054666e-06 9.97400485e-07 9.54451147e-04 1.36654891e-06
 2.81753630e-04 1.03026356e-06 3.35236772e-04 1.51202241e-06
 3.84509387e-04 1.92424974e-06 2.90657019e-05 1.78399885e-06
 2.48036084e-05 6.47508565e-07 2.89518431e-12 1.00739505e-12]",STALE
8651.58,85.4637,0.00549096,-6.197447147983333,2025-0521-161004,"[1, 1, 1]","[1.62695503e-04 1.63274032e-06 6.37273631e-04 1.17937234e-06
 4.95893856e-04 8.37946869e-07 3.39384057e-05 1.82815301e-06
 4.74004131e-06 5.90050407e-07 7.21410570e-04 1.54706329e-06
 4.12735935e-04 1.03026356e-06 3.35236772e-04 1.20597194e-06
 3.84509387e-04 1.50534111e-06 3.35092883e-05 7.48058669e-07
 4.72598978e-06 1.08780096e-06 2.90757348e-12 1.46044756e-12]",STALE
394420.0,104.007,0.00881149,-7.650909576070405,2025-0521-161004,"[1, 1, 1]","[1.19891194e-04 6.34912543e-07 4.52488244e-04 1.23267373e-06
 5.36059655e-04 5.90786338e-07 1.60103696e-04 1.71352360e-06
 1.07054666e-06 1.26672053e-06 9.54451147e-04 1.25384011e-06
 7.87207911e-04 1.20871168e-06 3.81606398e-04 1.40329781e-06
 1.11477530e-04 1.92424974e-06 5.34849160e-05 1.78399885e-06
 2.48036084e-05 1.55933827e-06 2.96624408e-12 1.21609728e-12]",STALE
774078.0,107.238,0.0061553,-8.099535499949855,2025-0521-161014,"[1, 1, 1]","[2.62635190e-04 1.71596676e-06 1.85533326e-04 7.17419192e-07
 6.16565576e-04 6.90650277e-07 3.62766780e-04 1.55022609e-06
 1.07054666e-06 1.26672053e-06 7.93160449e-04 1.65416312e-06
 7.87207911e-04 1.37447757e-06 7.67242858e-04 7.96240844e-07
 2.53506113e-04 1.92424974e-06 6.62514056e-05 1.48416507e-06
 2.48036084e-05 1.09927295e-06 2.99097464e-12 1.47262597e-12]",./circuit_database/DFCFC1/result_folder/2025-0521-161014
302374.0,104.322,0.00392887,-7.886276786147369,2025-0521-161014,"[1, 1, 1]","[4.69844261e-05 5.49153280e-07 4.52488244e-04 1.82911584e-06
 5.36059655e-04 1.21823934e-06 1.60103696e-04 1.71352360e-06
 1.68537500e-06 1.26672053e-06 5.88474639e-04 1.89485195e-06
 7.87207911e-04 1.20871168e-06 4.17992519e-04 5.10982915e-07
 4.37984359e-04 1.32689562e-06 5.34849160e-05 1.21763866e-06
 2.48036084e-05 1.22826065e-06 2.96624408e-12 1.20265471e-12]",./circuit_database/DFCFC1/result_folder/2025-0521-161014
4704.56,82.9014,0.00287429,-6.213988427789344,2025-0521-161026,"[1, 1, 1]","[2.62635190e-04 1.71596676e-06 1.85533326e-04 1.49053630e-06
 5.84489091e-04 7.21458443e-07 1.23175388e-04 1.72407477e-06
 1.01705994e-06 1.34214085e-06 2.01853509e-04 7.40502596e-07
 2.04428809e-04 1.54549012e-06 6.11244736e-04 1.03530499e-06
 4.50673884e-04 1.59324872e-06 1.09185617e-04 1.25538677e-06
 1.16266870e-05 1.92483073e-06 2.78731162e-12 1.47262597e-12]",./circuit_database/DFCFC1/result_folder/2025-0521-161026
947179.0,100.589,0.0136383,-7.841671821363602,2025-0521-161059,"[1, 1, 1]","[3.76783555e-04 1.63357422e-06 1.18638994e-06 8.31629261e-07
 9.34631103e-04 5.04361453e-07 3.75364401e-04 1.51202844e-06
 4.22655632e-06 1.26672053e-06 9.72316081e-04 7.46436290e-07
 6.66009123e-04 1.07720847e-06 7.25074799e-04 7.10967608e-07
 2.33978174e-04 1.58553523e-06 3.73650182e-05 7.63673328e-07
 2.48036084e-05 1.09927295e-06 2.99097464e-12 1.25105980e-12]",STALE
