GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
2785900.0,34.413,0.000983224,-9.45231305243248,2025-0521-121547,"[1, 1, 1]","[2.48492229e-05 7.37137226e-07 7.60090204e-06 8.11246326e-07
 3.35532627e-04 1.54069998e-06 8.33276501e-04 8.34778828e-07
 1.42314683e-05 1.60151595e-06 1.20956800e-12]",STALE
7595330.0,85.2316,0.00115451,-9.818148948736107,2025-0521-121556,"[1, 1, 1]","[1.35949971e-04 5.74368389e-07 1.93938015e-06 1.06956310e-06
 1.44397331e-05 1.20508424e-06 6.33346447e-04 6.13844044e-07
 1.07161972e-04 1.84797873e-06 2.35745915e-12]",STALE
1479350.0,77.8502,0.000907206,-9.212365022199068,2025-0521-121605,"[1, 1, 1]","[1.16436269e-04 6.29414609e-07 2.17865014e-07 8.17352954e-07
 1.29211888e-04 8.49038631e-07 5.65864206e-04 8.35106952e-07
 3.12572860e-04 1.58195335e-06 2.87773165e-12]",STALE
4401590.0,83.3631,0.00100496,-9.641460810310367,2025-0521-121605,"[1, 1, 1]","[1.49349631e-04 8.08778644e-07 8.55999105e-07 1.36465670e-06
 3.63835588e-04 6.88459583e-07 9.43829388e-04 7.90705671e-07
 2.85075527e-04 1.86898715e-06 2.12355915e-12]",STALE
10544700.0,90.8246,0.00163654,-9.809107603720928,2025-0521-121622,"[1, 1, 1]","[2.03475194e-04 5.91978893e-07 1.79141622e-05 1.11323602e-06
 1.15774483e-05 1.88833839e-06 6.83362278e-04 5.66190795e-07
 9.49316703e-05 1.76165707e-06 2.64801041e-12]",STALE
3162470.0,90.1206,0.0015089,-9.321365955836614,2025-0521-121640,"[1, 1, 1]","[1.84962283e-04 5.65518798e-07 7.01741404e-05 1.10239463e-06
 1.71977930e-06 1.24014045e-06 5.67857278e-04 5.77899632e-07
 1.02862731e-04 1.93444707e-06 2.57376957e-12]",STALE
4584470.0,90.1221,0.0011923,-9.58490359117038,2025-0521-121648,"[1, 1, 1]","[1.36184065e-04 5.13679454e-07 1.09468792e-05 9.79355939e-07
 2.33640364e-06 1.08284533e-06 5.95047918e-04 5.28519769e-07
 1.29044595e-04 1.89803467e-06 2.18936585e-12]",STALE
10724000.0,88.9123,0.00139204,-9.88670509048911,2025-0521-121656,"[1, 1, 1]","[1.63326258e-04 5.49869199e-07 6.41840706e-06 1.06010308e-06
 8.75281189e-06 1.12579388e-06 6.21221390e-04 6.14328053e-07
 1.21397801e-04 1.91297590e-06 2.23469100e-12]",STALE
11349100.0,89.0565,0.00173774,-9.814976624718312,2025-0521-121705,"[1, 1, 1]","[2.00886452e-04 5.28222128e-07 2.47295631e-05 9.81847777e-07
 6.32309250e-06 1.06757812e-06 5.76923136e-04 5.76304223e-07
 1.68555405e-04 1.92021145e-06 2.35211588e-12]",STALE
12259300.0,90.2197,0.00111454,-10.041370013291685,2025-0521-121713,"[1, 1, 1]","[1.34981147e-04 5.85851805e-07 7.92872975e-06 1.00059549e-06
 9.70898482e-06 1.20460432e-06 6.26338748e-04 5.70250094e-07
 1.39926765e-04 1.84909103e-06 2.21192404e-12]",STALE
5703610.0,91.4635,0.000934562,-9.785541703476802,2025-0521-121722,"[1, 1, 1]","[1.12434947e-04 5.58638672e-07 3.67613005e-05 1.03586070e-06
 2.85316851e-06 1.21099947e-06 5.92008844e-04 5.25113859e-07
 1.59998967e-04 1.87138280e-06 2.19601887e-12]",STALE
2611610.0,81.5914,0.000698758,-9.572581529762813,2025-0521-121731,"[1, 1, 1]","[8.68966313e-05 6.21625694e-07 3.85278295e-07 9.90908386e-07
 4.51479845e-05 1.26013974e-06 5.78565895e-04 6.06939562e-07
 1.07203381e-04 1.82252496e-06 2.16819717e-12]",STALE
13938200.0,90.8561,0.00130828,-10.02750598966739,2025-0521-121740,"[1, 1, 1]","[1.56659750e-04 5.68111514e-07 2.03577760e-05 1.02731152e-06
 8.70435009e-06 1.18328223e-06 6.03228281e-04 5.38773107e-07
 1.20982925e-04 1.81804306e-06 2.25946558e-12]",STALE
4319050.0,90.9391,0.000862826,-9.699465008281793,2025-0521-121740,"[1, 1, 1]","[1.07538551e-04 5.90910801e-07 4.28641690e-06 1.02617100e-06
 3.02710043e-06 1.19396873e-06 6.13174879e-04 5.65514612e-07
 1.39900116e-04 1.82477956e-06 2.24596128e-12]",STALE
14394400.0,90.2629,0.00129897,-10.044594445886494,2025-0521-121748,"[1, 1, 1]","[1.56941746e-04 5.79110600e-07 1.13893303e-05 9.92209474e-07
 9.93936874e-06 1.17057135e-06 6.16215236e-04 5.36599185e-07
 1.49650423e-04 1.86851375e-06 2.15726142e-12]",STALE
10243800.0,91.5781,0.000942457,-10.036199546251556,2025-0521-121748,"[1, 1, 1]","[1.18268391e-04 6.13243420e-07 1.07240913e-05 1.03287114e-06
 7.31787068e-06 1.24794864e-06 6.29860683e-04 5.89025316e-07
 1.32589038e-04 1.87801687e-06 2.26580575e-12]",STALE
12612300.0,90.8983,0.00111397,-10.053920797321608,2025-0521-121748,"[1, 1, 1]","[1.38109756e-04 6.04202968e-07 1.01182070e-05 1.04010304e-06
 9.14526132e-06 1.19173846e-06 6.06389026e-04 5.64407053e-07
 1.16230129e-04 1.87177134e-06 2.19153197e-12]",STALE
5827350.0,91.6454,0.000944955,-9.790059975970363,2025-0521-121756,"[1, 1, 1]","[1.17862210e-04 5.90125314e-07 2.02466497e-05 1.05274555e-06
 3.00859019e-06 1.20176838e-06 6.18332861e-04 5.89487836e-07
 1.42566187e-04 1.88837489e-06 2.13144920e-12]",STALE
11800200.0,87.2742,0.00106628,-10.044018104858017,2025-0521-121805,"[1, 1, 1]","[1.30735870e-04 6.24208781e-07 3.11847040e-06 9.99163081e-07
 1.69408999e-05 1.22717585e-06 6.18945822e-04 5.83598325e-07
 9.65982197e-05 1.88477805e-06 2.14891628e-12]",STALE
3390910.0,91.6348,0.000932477,-9.560678134555666,2025-0521-121805,"[1, 1, 1]","[1.20483941e-04 6.16085392e-07 7.97955132e-06 1.07031481e-06
 1.86219219e-06 1.20831136e-06 6.11947027e-04 5.53354695e-07
 1.40980561e-04 1.89566689e-06 2.14957229e-12]",STALE
9792060.0,92.1095,0.000926202,-10.024168351456128,2025-0521-121805,"[1, 1, 1]","[1.19747421e-04 6.36666414e-07 1.26718150e-05 1.06371081e-06
 6.45590147e-06 1.22649682e-06 6.01705218e-04 5.94302168e-07
 9.43486860e-05 1.90302431e-06 2.24848431e-12]",STALE
12398500.0,91.745,0.00116214,-10.028110696822758,2025-0521-121805,"[1, 1, 1]","[1.47389698e-04 6.15912961e-07 3.33053729e-05 1.02302560e-06
 7.18526976e-06 1.21416694e-06 6.27634109e-04 5.78350058e-07
 1.19508547e-04 1.88978690e-06 2.24690380e-12]",STALE
13863800.0,90.873,0.00120665,-10.060300967363622,2025-0521-121805,"[1, 1, 1]","[1.49951541e-04 6.06668175e-07 1.21194500e-05 1.04548819e-06
 1.00540595e-05 1.19628107e-06 5.87323235e-04 5.37602293e-07
 1.19457418e-04 1.90068020e-06 2.25425836e-12]",STALE
10449400.0,91.2943,0.00115592,-9.956163576099803,2025-0521-121831,"[1, 1, 1]","[1.44158572e-04 5.99712580e-07 1.55781946e-05 1.05528792e-06
 6.60198270e-06 1.18726648e-06 5.84329220e-04 5.45608986e-07
 1.22863494e-04 1.90516839e-06 2.26801179e-12]",STALE
13118600.0,90.2594,0.00116013,-10.053380832734756,2025-0521-121831,"[1, 1, 1]","[1.44098162e-04 6.10731598e-07 8.18045991e-06 1.04563283e-06
 1.09931102e-05 1.19653464e-06 5.86107267e-04 5.46121964e-07
 1.23617007e-04 1.89927498e-06 2.26495450e-12]",STALE
13318800.0,91.4801,0.00114391,-10.066073240853715,2025-0521-121840,"[1, 1, 1]","[1.43953330e-04 6.15979080e-07 1.61342623e-05 1.05511814e-06
 8.88066643e-06 1.18860436e-06 5.90598458e-04 5.45779282e-07
 1.17032950e-04 1.90526748e-06 2.26831722e-12]",STALE
