GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
5088460.0,143.991,0.00287701,-9.247644993483608,2025-0521-195113,"[1, 1, 1]","[4.07721392e-04 7.99630981e-07 8.48876189e-04 5.31151041e-07
 4.61619267e-04 1.75381161e-06 8.98481168e-04 1.70696196e-06
 6.69653979e-04 1.29606523e-06 4.60120989e-04 9.29765320e-07
 7.88463120e-04 1.02688868e-06 5.85184012e-07 1.97237331e-06
 1.46775968e-04 1.61348662e-06 7.42421079e-04 1.23054400e-06
 3.18036914e-04 9.59106124e-07 7.48717166e-05 1.58204133e-06
 2.61479356e-12 8.38610749e-13]",STALE
5513850.0,117.533,0.0110348,-8.698690481079094,2025-0521-195234,"[1, 1, 1]","[2.32958184e-04 9.19154444e-07 2.06006527e-04 6.16994392e-07
 4.86026252e-05 1.29930475e-06 4.10094145e-04 1.10680785e-06
 4.98060472e-04 9.02008393e-07 7.22538501e-04 1.91124034e-06
 7.49009813e-04 1.93738391e-06 1.36863545e-04 7.33009750e-07
 1.34183850e-05 1.98739160e-06 7.46541680e-04 5.76773464e-07
 2.47023517e-04 6.42249058e-07 7.07570039e-04 1.77605101e-06
 1.12463491e-12 1.34556939e-12]",STALE
11667900.0,157.737,0.00198598,-9.769017827757393,2025-0521-195234,"[1, 1, 1]","[3.37369706e-04 5.40089828e-07 7.60076511e-04 5.73934509e-07
 3.09024988e-04 7.84517670e-07 6.89769418e-04 9.42989440e-07
 3.10186572e-04 6.94646275e-07 6.21243062e-05 1.77445368e-06
 5.49138792e-04 5.31517159e-07 1.30548325e-04 1.22873011e-06
 3.19150106e-05 1.53822600e-06 2.87503804e-04 1.37031271e-06
 2.13599562e-05 5.41869291e-07 2.53296019e-05 1.02871235e-06
 2.59383153e-12 2.46780356e-12]",STALE
2910530.0,145.615,0.00121854,-9.378132290112566,2025-0521-195350,"[1, 1, 1]","[4.62484539e-04 1.09919017e-06 3.11210371e-04 5.93524724e-07
 8.65112137e-04 9.44655593e-07 9.56879242e-05 7.38768332e-07
 4.51297653e-04 1.08363339e-06 2.19767203e-04 1.30010293e-06
 7.87380173e-04 1.01631646e-06 1.22301515e-04 5.21121556e-07
 5.28645343e-06 7.96577342e-07 5.54038986e-04 1.23013064e-06
 4.52211863e-04 1.09400407e-06 4.57615431e-04 1.80383306e-06
 8.12599164e-13 2.68598652e-12]",STALE
32593800.0,154.599,0.00403406,-9.907392642989581,2025-0521-195350,"[1, 1, 1]","[5.41903602e-04 1.80885353e-06 4.34264251e-04 1.33470755e-06
 4.79242902e-04 6.51982853e-07 9.19644663e-04 9.81946782e-07
 7.40937285e-04 1.03940720e-06 1.68974249e-04 8.73923480e-07
 7.01784725e-04 7.31852125e-07 8.83796545e-04 1.53127516e-06
 8.41884885e-05 7.24374266e-07 3.65212663e-04 1.59619028e-06
 4.03892570e-04 9.36487875e-07 6.63357845e-04 1.61875546e-06
 2.32851812e-12 2.54279098e-12]",./circuit_database/TCFC/result_folder/2025-0521-195350
13951400.0,139.752,0.00276749,-9.702531730250486,2025-0521-195629,"[1, 1, 1]","[6.29307077e-04 5.54353135e-07 5.30884313e-04 1.34078890e-06
 2.67427509e-04 1.20534658e-06 7.91977947e-04 1.35523764e-06
 3.02846180e-04 6.42486252e-07 7.39238277e-04 1.73671111e-06
 5.30663064e-04 1.14088272e-06 9.07586217e-04 1.09523957e-06
 5.43639461e-05 1.39137467e-06 7.21264538e-04 5.91895154e-07
 6.32352182e-04 8.59840643e-07 1.70808447e-04 5.03897507e-07
 1.73852791e-12 2.95360616e-12]",STALE
19288600.0,151.361,0.00384517,-9.700385161652443,2025-0521-195647,"[1, 1, 1]","[3.62449520e-04 1.53889634e-06 5.72061227e-04 1.48058641e-06
 4.79242902e-04 5.50124425e-07 5.56913568e-04 5.05695160e-07
 3.10216007e-04 1.01754580e-06 1.68974249e-04 5.02147640e-07
 6.79468033e-04 8.46243634e-07 8.53162801e-04 1.86923356e-06
 5.38503045e-05 7.24374266e-07 2.97800571e-04 1.32974650e-06
 1.42551592e-04 1.50013551e-06 6.64779234e-04 1.61875546e-06
 2.18017195e-12 2.92288687e-12]",STALE
15799000.0,157.896,0.00266505,-9.772924237691756,2025-0521-195647,"[1, 1, 1]","[8.40473718e-05 6.24916664e-07 7.66102285e-04 5.74696518e-07
 3.09024988e-04 6.79039667e-07 6.36131919e-04 8.95822469e-07
 5.07410539e-04 6.94646275e-07 2.39488926e-04 1.77445368e-06
 5.49138792e-04 5.79768084e-07 4.45737263e-04 1.22873011e-06
 3.19150106e-05 1.96674471e-06 5.76941464e-04 1.12649027e-06
 1.96315601e-04 5.41869291e-07 3.72173030e-05 1.77553561e-06
 2.75902870e-12 1.35277506e-12]",STALE
13048300.0,154.362,0.00262089,-9.69710513944583,2025-0521-195709,"[1, 1, 1]","[5.57339225e-05 6.42047773e-07 7.05227333e-04 5.40191379e-07
 3.09024988e-04 6.79039667e-07 6.36131919e-04 9.08441548e-07
 5.07410539e-04 9.28865578e-07 2.39488926e-04 1.98881831e-06
 7.39130262e-04 1.12726758e-06 3.20499985e-04 1.22873011e-06
 4.12662320e-05 1.73511439e-06 6.12373567e-04 1.16149248e-06
 4.35241556e-04 1.07052929e-06 1.23883894e-04 1.68317013e-06
 2.75902870e-12 2.09131380e-12]",STALE
25999900.0,155.154,0.00530481,-9.690301844018931,2025-0521-195709,"[1, 1, 1]","[9.85374635e-04 1.68228957e-06 9.50344005e-04 1.33470755e-06
 3.12920506e-04 6.36263797e-07 9.19644663e-04 9.81946782e-07
 5.84429123e-04 8.70610633e-07 1.68974249e-04 9.93509352e-07
 7.21432863e-04 1.22854591e-06 7.06435050e-04 8.59251836e-07
 7.28746547e-05 7.79444661e-07 1.26233394e-04 1.95961173e-06
 2.77635525e-04 1.24647340e-06 6.63357845e-04 1.61875546e-06
 2.32851812e-12 2.76323038e-12]",STALE
