circuit name,GBW, Gain, Pdiss, Fitness, time, performance weight, solution vector, solution path
SMC,29067700.0,96.6741,0.00139515,-10.318789765876001,2025-0521-122240,"[1, 1, 1]","[3.80919891e-04 1.72731099e-06 4.99200726e-05 1.99988463e-06
 1.26033647e-05 9.67664329e-07 7.88307474e-04 5.23325939e-07
 6.42057476e-06 7.00430557e-07 1.65062625e-12]",./circuit_database/SMC/result_folder/2025-0521-122240
SMC,15400900.0,92.7901,0.000899637,-10.233478792277431,2025-0521-122240,"[1, 1, 1]","[2.77272546e-04 1.99316626e-06 1.88045926e-05 1.66961868e-06
 1.11902035e-05 1.56060241e-06 7.64834322e-04 5.44653120e-07
 1.18859450e-06 5.26599602e-07 1.76551257e-12]",./circuit_database/SMC/result_folder/2025-0521-122240
SMC,25186900.0,97.4497,0.00126597,-10.298751303664504,2025-0521-122240,"[1, 1, 1]","[3.90834691e-04 1.99001668e-06 8.15483540e-05 1.96647864e-06
 1.12600671e-05 1.04004627e-06 9.12894828e-04 5.35201741e-07
 1.14323174e-05 5.01866075e-07 1.80364913e-12]",./circuit_database/SMC/result_folder/2025-0521-122240
SMC,15281100.0,97.6404,0.000970364,-10.197219941711618,2025-0521-122350,"[1, 1, 1]","[2.73728449e-04 1.76075947e-06 1.02941177e-04 1.96267100e-06
 5.54394000e-06 9.70086721e-07 7.61387949e-04 5.11529586e-07
 3.57864067e-05 7.11359300e-07 1.74563899e-12]",./circuit_database/SMC/result_folder/2025-0521-122350
SMC,20791000.0,97.7411,0.00097874,-10.327208040607314,2025-0521-122350,"[1, 1, 1]","[2.72663076e-04 1.75867228e-06 1.09677640e-04 1.95512429e-06
 7.24688115e-06 9.11395649e-07 7.44434492e-04 5.03272767e-07
 3.05486414e-05 7.01569852e-07 1.73464234e-12]",./circuit_database/SMC/result_folder/2025-0521-122350
SMC,23252400.0,97.8707,0.00101214,-10.361227196697728,2025-0521-122358,"[1, 1, 1]","[2.79277159e-04 1.74939055e-06 1.00350558e-04 1.97252130e-06
 8.54203350e-06 9.35141347e-07 7.50177275e-04 5.18347313e-07
 2.13972736e-05 7.06795519e-07 1.72852400e-12]",./circuit_database/SMC/result_folder/2025-0521-122358
SMC,15333000.0,97.7444,0.000982164,-10.19344312411173,2025-0521-122407,"[1, 1, 1]","[2.74834122e-04 1.74333191e-06 9.74486081e-05 1.97403847e-06
 5.36018134e-06 9.34283232e-07 7.54108620e-04 5.24795606e-07
 2.43506456e-05 7.05585245e-07 1.71655738e-12]",./circuit_database/SMC/result_folder/2025-0521-122407
SMC,14709700.0,97.8011,0.000973502,-10.1792669674215,2025-0521-122407,"[1, 1, 1]","[2.73258123e-04 1.74794810e-06 9.90824854e-05 1.96844651e-06
 5.17534741e-06 9.37876859e-07 7.49452850e-04 5.19542880e-07
 2.08459860e-05 7.06785129e-07 1.74174993e-12]",./circuit_database/SMC/result_folder/2025-0521-122407
SMC,15271600.0,97.8443,0.000978545,-10.193303738116956,2025-0521-122407,"[1, 1, 1]","[2.75145696e-04 1.75306784e-06 9.45418129e-05 1.97748274e-06
 5.38495998e-06 9.41634615e-07 7.46420279e-04 5.14557164e-07
 1.88965261e-05 7.07232952e-07 1.71995297e-12]",./circuit_database/SMC/result_folder/2025-0521-122407
SMC,15051600.0,97.7598,0.00097751,-10.187461459362222,2025-0521-122407,"[1, 1, 1]","[2.75228739e-04 1.75472831e-06 1.03710344e-04 1.96625896e-06
 5.19989107e-06 9.24405230e-07 7.48133379e-04 5.11290809e-07
 2.21835956e-05 6.99820475e-07 1.73014509e-12]",./circuit_database/SMC/result_folder/2025-0521-122407
SMC,14690200.0,97.8411,0.000971037,-10.179791930136698,2025-0521-122416,"[1, 1, 1]","[2.73451805e-04 1.75476511e-06 9.38723713e-05 1.97343985e-06
 5.07318959e-06 9.24598757e-07 7.51059683e-04 5.29133644e-07
 2.06021021e-05 7.10436285e-07 1.71794807e-12]",./circuit_database/SMC/result_folder/2025-0521-122416
SMC,17963100.0,97.9359,0.000984559,-10.261139541121075,2025-0521-122416,"[1, 1, 1]","[2.76012196e-04 1.75762129e-06 9.59854203e-05 1.96402147e-06
 6.31341240e-06 9.28004271e-07 7.49399484e-04 5.12145143e-07
 1.71494803e-05 7.14500235e-07 1.72850159e-12]",./circuit_database/SMC/result_folder/2025-0521-122416
